UUID,JOBDIR,JOBNAME,JOBDESC,SHLPATH
f676c1f2-3218-4ead-8005-c8c96482552f,batch/unit/import_train,copy_company_csv,対象事業者情報CSVコピー,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/copy_company_csv.sh
b8230fe3-0957-4fd5-8800-c470d99fb2e1,batch/unit/import_train,truncate_ejp_company,事業者テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/truncate_ejp_company.sh
13a6c27a-f49c-4359-8a25-6f3889f35847,batch/unit/import_train,import_ejp_company,事業者テーブル読込,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/import_ejp_company.sh
5dde8c72-bb26-4911-a879-ab5de0a7ab48,batch/unit/import_train,delete_tmp_ejp_company,事業者情報一時CSV削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/delete_tmp_ejp_company.sh
54e387ff-0d07-47ed-9162-fda55e78cbf9,batch/unit/import_train,copy_join_csv,対象接続駅情報CSVコピー,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/copy_join_csv.sh
85c9e273-77f9-45a7-9fc9-28f66baa63d1,batch/unit/import_train,truncate_ejp_join,接続駅テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/truncate_ejp_join.sh
af3c6d9b-59f8-4055-9a90-f1853e3b991e,batch/unit/import_train,import_ejp_join,接続駅テーブル読込,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/import_ejp_join.sh
d8dd6a5c-2837-4986-a837-fc4939ae90a5,batch/unit/import_train,delete_tmp_ejp_join,接続駅情報一時CSV削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/delete_tmp_ejp_join.sh
78367215-a5f5-429f-a331-71e2bf54b767,batch/unit/import_train,copy_line_csv,対象路線情報CSVコピー,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/copy_line_csv.sh
dfac7e01-a8ed-4b0d-92e3-3b5a112b7676,batch/unit/import_train,truncate_ejp_line,路線テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/truncate_ejp_line.sh
a63acb30-9edc-450e-bb92-2162ed9c49da,batch/unit/import_train,import_ejp_line,路線テーブル読込,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/import_ejp_line.sh
533bd9d3-c94c-471b-ab30-f209dcf039a4,batch/unit/import_train,delete_tmp_ejp_line,路線情報一時CSV削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/delete_tmp_ejp_line.sh
369bba74-bdbf-4c21-b13b-29e027c6685d,batch/unit/import_train,copy_station_csv,対象駅情報CSVコピー,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/copy_station_csv.sh
64ec88d4-9f02-4dff-9a16-09c63d4d69a4,batch/unit/import_train,truncate_ejp_station,駅テーブルデータ全削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/truncate_ejp_station.sh
332a8537-bdff-46c3-ac6c-5edff6e43c7d,batch/unit/import_train,import_ejp_station,駅テーブル読込,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/import_ejp_station.sh
a344039b-e2c9-4417-b615-938329264db8,batch/unit/import_train,delete_tmp_ejp_station,駅情報一時CSV削除,/usr/local/gitrepos/cafe-train-prj/batch/shell/import_train/delete_tmp_ejp_station.sh
